DAT,RBD,stvarnaVrijednost,predvidjenaVrijednost
2016-05-07,128.0,2.0,31.4
2016-05-08,129.0,0.0,14.5
2016-05-09,130.0,1.0,15.0
2016-05-10,131.0,1.0,9.0
2016-05-11,132.0,2.0,2.0
2016-05-12,133.0,1.0,0.0
2016-05-13,134.0,2.0,7.7272727272727275
2016-05-14,135.0,2.0,3.6363636363636362
2016-05-15,136.0,0.0,1.4
2016-05-16,137.0,0.0,7.7272727272727275
2016-05-17,138.0,1.0,5.75
2016-05-18,139.0,1.0,1.4
2016-05-19,140.0,1.0,3.5
2016-05-20,141.0,1.0,5.0
2016-05-21,142.0,1.0,1.0
2016-05-22,143.0,0.0,1.0
2016-05-23,144.0,0.0,5.5
2016-05-24,145.0,0.0,5.75
2016-05-25,146.0,0.0,1.4
2016-05-26,147.0,0.0,3.5
2016-05-27,148.0,0.0,0.0
2016-05-28,149.0,0.0,0.0
2016-05-29,150.0,0.0,0.0
2016-05-30,151.0,0.0,0.0
2016-05-31,152.0,0.0,0.0
