DAT,RBD,stvarnaVrijednost,predvidjenaVrijednost
2015-10-02,276.0,5.0,2.5
2015-10-03,277.0,5.0,1.5714285714285714
2015-10-04,278.0,8.0,4.5
2015-10-05,279.0,3.0,2.5
2015-10-06,280.0,2.0,1.5714285714285714
2015-10-07,281.0,0.0,1.5
2015-10-08,282.0,0.0,1.5
2015-10-09,283.0,0.0,1.0555555555555556
2015-10-10,284.0,0.0,1.8333333333333333
2015-10-11,285.0,0.0,1.0555555555555556
2015-10-12,286.0,37.0,1.8333333333333333
2015-10-13,287.0,42.0,1.3333333333333333
2015-10-14,288.0,65.0,1.3333333333333333
2015-10-15,289.0,67.0,1.0555555555555556
2015-10-16,290.0,37.0,1.8333333333333333
2015-10-17,291.0,1.0,1.3333333333333333
2015-10-18,292.0,3.0,0.7142857142857143
2015-10-19,293.0,1.0,1.0555555555555556
2015-10-20,294.0,1.0,1.8333333333333333
2015-10-21,295.0,2.0,1.0555555555555556
2015-10-22,296.0,2.0,1.8333333333333333
2015-10-23,297.0,4.0,1.3333333333333333
2015-10-24,298.0,1.0,1.3333333333333333
2015-10-25,299.0,0.0,1.3333333333333333
2015-10-26,300.0,0.0,1.0555555555555556
2015-10-27,301.0,0.0,1.8333333333333333
2015-10-28,302.0,1.0,1.3333333333333333
2015-10-29,303.0,0.0,0.0
2015-10-30,304.0,0.0,0.0
2015-10-31,305.0,0.0,0.0
2016-09-01,245.0,608.0,134.0
2016-09-02,246.0,446.0,707.0
2016-09-03,247.0,565.0,210.71428571428572
2016-09-04,248.0,270.0,154.16666666666666
2016-09-05,249.0,269.0,134.0
2016-09-06,250.0,193.0,97.0
2016-09-07,251.0,262.0,97.0
2016-09-08,252.0,170.0,125.06666666666666
2016-09-09,253.0,242.0,74.2
2016-09-10,254.0,97.0,142.0
2016-09-11,255.0,262.0,33.666666666666664
2016-09-12,256.0,59.0,26.666666666666668
2016-09-13,257.0,154.0,25.5
2016-09-14,258.0,145.0,30.0
2016-09-15,259.0,74.0,30.0
2016-09-16,260.0,55.0,32.07142857142857
2016-09-17,261.0,75.0,11.384615384615385
2016-09-18,262.0,18.0,32.07142857142857
2016-09-19,263.0,30.0,11.384615384615385
2016-09-20,264.0,40.0,8.818181818181818
2016-09-21,265.0,52.0,11.0
2016-09-22,266.0,23.0,2.9166666666666665
2016-09-23,267.0,53.0,2.75
2016-09-24,268.0,35.0,4.5
2016-09-25,269.0,31.0,2.5
2016-09-26,270.0,34.0,4.5
2016-09-27,271.0,9.0,2.5
2016-09-28,272.0,3.0,1.5714285714285714
2016-09-29,273.0,3.0,4.5
2016-09-30,274.0,1.0,2.5
2016-10-01,275.0,0.0,6.384615384615385
2016-10-02,276.0,5.0,3.142857142857143
2016-10-03,277.0,5.0,4.5
2016-10-04,278.0,8.0,2.5
2016-10-05,279.0,3.0,4.5
2016-10-06,280.0,2.0,2.9166666666666665
2016-10-07,281.0,0.0,4.5
2016-10-08,282.0,0.0,2.2222222222222223
2016-10-09,283.0,0.0,1.0555555555555556
2016-10-10,284.0,0.0,1.8333333333333333
2016-10-11,285.0,0.0,1.3333333333333333
2016-10-12,286.0,37.0,1.0555555555555556
2016-10-13,287.0,42.0,1.6
2016-10-14,288.0,65.0,1.0
2016-10-15,289.0,67.0,0.3333333333333333
2016-10-16,290.0,37.0,0.5
2016-10-17,291.0,1.0,0.0
2016-10-18,292.0,3.0,0.0
2016-10-19,293.0,1.0,1.0555555555555556
2016-10-20,294.0,1.0,1.8333333333333333
2016-10-21,295.0,2.0,1.0555555555555556
2016-10-22,296.0,2.0,1.8333333333333333
2016-10-23,297.0,4.0,1.0555555555555556
2016-10-24,298.0,1.0,1.8333333333333333
2016-10-25,299.0,0.0,1.0555555555555556
2016-10-26,300.0,0.0,1.8333333333333333
2016-10-27,301.0,0.0,1.3333333333333333
2016-10-28,302.0,1.0,1.0555555555555556
2016-10-29,303.0,1.0,1.8333333333333333
2016-10-30,304.0,4.0,1.0555555555555556
2016-10-31,305.0,1.0,1.8333333333333333
